,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,winddirection_10m,surface_pressure
0,2024-05-01 00:00:00,43.4,29.8,457.0,10.4,79.0,16.5,25.2,75,0.0,19.2,17,1004.3
1,2024-05-01 01:00:00,41.8,28.8,467.0,10.5,79.0,17.1,26.8,72,0.0,19.4,31,1004.2
2,2024-05-01 02:00:00,43.4,29.8,481.0,10.5,78.0,17.8,27.7,69,0.0,17.8,36,1004.7
3,2024-05-01 03:00:00,44.5,30.5,491.0,10.4,81.0,18.5,28.9,66,0.0,17.1,30,1004.6
4,2024-05-01 04:00:00,48.4,33.1,492.0,9.9,89.0,18.9,29.3,66,0.0,17.3,31,1004.5
5,2024-05-01 05:00:00,53.4,36.4,490.0,9.3,99.0,19.2,28.8,69,0.0,13.4,31,1003.9
6,2024-05-01 06:00:00,58.2,39.7,492.0,9.0,107.0,19.4,29.9,66,0.0,10.4,34,1002.9
7,2024-05-01 07:00:00,64.0,43.7,494.0,8.9,112.0,19.1,30.4,64,0.0,8.4,31,1001.7
8,2024-05-01 08:00:00,73.6,50.1,500.0,9.1,116.0,18.8,30.3,65,0.0,8.2,61,1001.6
9,2024-05-01 09:00:00,81.5,55.4,534.0,10.8,115.0,19.6,28.0,80,0.1,15.4,106,1001.4
10,2024-05-01 10:00:00,87.5,59.6,627.0,15.8,107.0,22.8,27.8,80,0.0,11.0,122,1001.6
11,2024-05-01 11:00:00,89.2,61.0,748.0,22.4,95.0,27.1,27.5,81,0.0,11.0,122,1002.4
12,2024-05-01 12:00:00,104.3,71.7,914.0,29.9,75.0,32.7,27.1,83,0.0,11.5,129,1003.1
13,2024-05-01 13:00:00,104.3,71.7,860.0,25.9,75.0,31.8,26.2,84,0.0,5.6,45,1004.6
14,2024-05-01 14:00:00,88.7,61.0,783.0,20.4,76.0,30.4,25.8,85,0.0,8.1,58,1005.3
15,2024-05-01 15:00:00,71.5,49.4,706.0,16.1,75.0,28.8,25.7,83,0.0,7.6,59,1005.9
16,2024-05-01 16:00:00,55.9,38.8,632.0,14.1,73.0,26.8,25.6,82,0.0,8.4,50,1006.1
17,2024-05-01 17:00:00,50.3,34.8,559.0,13.3,70.0,24.6,25.4,81,0.0,7.7,41,1005.8
18,2024-05-01 18:00:00,52.9,36.2,501.0,12.8,66.0,22.6,24.9,81,0.3,11.2,21,1005.6
19,2024-05-01 19:00:00,48.2,33.1,462.0,12.1,62.0,21.1,23.5,90,0.7,13.0,28,1005.3
20,2024-05-01 20:00:00,46.8,32.1,439.0,11.7,58.0,19.8,23.1,89,0.2,12.9,30,1005.3
21,2024-05-01 21:00:00,48.2,33.1,436.0,12.1,54.0,19.1,22.8,89,0.1,11.0,32,1005.4
22,2024-05-01 22:00:00,55.5,38.0,463.0,13.8,48.0,18.9,22.7,89,0.0,8.4,20,1005.7
23,2024-05-01 23:00:00,60.3,41.1,511.0,16.2,41.0,19.3,22.8,89,0.0,8.5,12,1006.3
24,2024-05-02 00:00:00,82.2,56.2,526.0,16.3,46.0,21.1,23.2,87,0.0,9.8,17,1006.8
25,2024-05-02 01:00:00,82.7,56.6,542.0,16.9,49.0,22.0,24.3,85,0.0,12.6,31,1006.8
26,2024-05-02 02:00:00,82.7,56.7,564.0,17.6,53.0,23.4,24.9,82,0.0,12.4,30,1007.3
27,2024-05-02 03:00:00,84.3,58.0,580.0,18.0,59.0,25.0,26.5,77,0.0,10.1,35,1007.3
28,2024-05-02 04:00:00,89.4,61.2,582.0,17.5,70.0,27.1,27.2,74,0.0,8.2,61,1007.3
29,2024-05-02 05:00:00,92.9,63.8,578.0,16.6,83.0,29.5,27.7,74,0.1,7.0,102,1006.2
30,2024-05-02 06:00:00,100.6,69.2,578.0,16.1,94.0,31.5,29.1,72,0.0,8.0,108,1004.7
31,2024-05-02 07:00:00,105.2,72.4,574.0,15.7,102.0,32.9,28.0,78,0.2,12.5,136,1003.8
32,2024-05-02 08:00:00,106.6,73.3,573.0,15.6,108.0,34.0,28.3,78,0.2,11.4,152,1003.3
33,2024-05-02 09:00:00,105.5,72.6,609.0,17.6,107.0,35.0,28.4,77,0.0,12.3,148,1002.9
34,2024-05-02 10:00:00,110.1,75.9,723.0,24.0,95.0,36.2,28.2,76,0.0,13.4,144,1003.3
35,2024-05-02 11:00:00,120.1,82.9,873.0,32.5,76.0,37.2,27.4,80,0.0,15.1,128,1003.9
